client,round_number,computingTime,computingDemand,computingCap,computingtime
1,1,1.8884482719004156,215283102996.64737,100.0,2.1528310299664737
2,1,0.9421273693442344,107402520105.24272,100.0,1.0740252010524272
3,1,1.820602931082249,207548734143.37637,100.0,2.075487341433764
4,1,1.4407522808760405,164245760019.86862,100.0,1.6424576001986861
5,1,0.9567182920873164,109065885297.95407,100.0,1.0906588529795407
6,1,0.9064517114311456,103335495103.15059,100.0,1.0333549510315059
7,1,1.931504538282752,220191517364.23373,100.0,2.2019151736423375
8,1,0.9251952320337296,105472256451.84517,100.0,1.0547225645184517
9,1,0.8997537177056074,102571923818.43924,100.0,1.0257192381843925
10,1,0.5707593839615583,65066569771.61765,100.0,0.6506656977161765
11,1,0.8543584365397692,97396861765.53369,100.0,0.9739686176553369
12,1,0.6699742637574673,76377066068.35127,100.0,0.7637706606835127
13,1,1.4132553935050964,161111114859.581,100.0,1.6111111485958098
14,1,0.7782340068370104,88718676779.41919,100.0,0.8871867677941919
15,1,0.8937600366771221,101888644181.19193,100.0,1.0188864418119192
16,1,0.903860468417406,103040093399.58427,100.0,1.0304009339958426
17,1,1.2872113715857267,146742096360.77286,100.0,1.4674209636077287
18,1,0.5602259244769812,63865755390.375854,100.0,0.6386575539037586
19,1,1.1869193520396948,135308806132.5252,100.0,1.353088061325252
20,1,1.768799340352416,201643124800.1754,100.0,2.016431248001754
21,1,1.3527207467705011,154210165131.83713,100.0,1.5421016513183712
22,1,1.0011683367192743,114133190385.99727,100.0,1.1413319038599727
23,1,0.6784478463232517,77343054480.8507,100.0,0.7734305448085069
24,1,0.9198236986994744,104859901651.74008,100.0,1.0485990165174008
25,1,0.5677541252225637,64723970275.37227,100.0,0.6472397027537227
26,1,0.8576217778027058,97768882669.50845,100.0,0.9776888266950845
27,1,0.930162312462926,106038503620.77356,100.0,1.0603850362077356
28,1,0.8426488991826773,96061974506.82521,100.0,0.9606197450682521
29,1,0.9295554310083388,105969319134.95062,100.0,1.0596931913495062
30,1,0.9465790521353484,107910011943.42972,100.0,1.0791001194342973
31,1,1.5808866322040558,180221076071.26236,100.0,1.8022107607126236
32,1,1.4554596655070782,165922401867.80692,100.0,1.6592240186780691
33,1,0.95220316760242,108551161106.67587,100.0,1.0855116110667586
34,1,1.4270463921129704,162683288700.87863,100.0,1.6268328870087863
35,1,1.5880220253020525,181034510884.434,100.0,1.8103451088443399
36,1,1.4209294356405735,161985955663.0254,100.0,1.6198595566302538
37,1,0.9505248181521893,108359829269.34958,100.0,1.0835982926934957
38,1,0.8365492038428783,95366609238.08813,100.0,0.9536660923808814
39,1,0.9030717462301254,102950179070.2343,100.0,1.029501790702343
40,1,0.7930465992540121,90407312314.95738,100.0,0.9040731231495738
41,1,1.5242385677993298,173763196729.1236,100.0,1.737631967291236
42,1,1.394873719662428,159015604041.51678,100.0,1.5901560404151678
43,1,0.885850939899683,100987007148.56386,100.0,1.0098700714856386
44,1,0.7674577981233597,87490188986.063,100.0,0.87490188986063
45,1,0.8911024145781994,101585675261.91473,100.0,1.0158567526191473
46,1,1.9028824772685768,216928602408.61777,100.0,2.1692860240861775
47,1,0.9530103616416454,108643181227.14758,100.0,1.0864318122714758
48,1,1.342465529218316,153041070330.88803,100.0,1.5304107033088803
49,1,0.9367370121181012,106788019381.46355,100.0,1.0678801938146354
50,1,1.5055726617574692,171635283440.3515,100.0,1.716352834403515
51,1,0.8914270959794521,101622688941.65755,100.0,1.0162268894165756
